ID,Acronym,Hemisphere,"Sample Number
Brain 1","Sample Number
Brain 2",Structures represented with at least n=2 samples in both brains,Structures,,,,,,,,,
4372,COAa,R,,,,,,,,,,,"Anterior Cortical Nucleus, Right",,
4374,MA,R,,,,,,,,,,,"Medial Nucleus, Right",,
4373,COAp,R,,,,,,,,,,,"Posterior Cortical Nucleus, Right",,
4375,IA,,,,,,,,,,Intercalated Nuclei,,,,
4376,IA,L,,,,,,,,,,"Intercalated Nuclei, Left",,,
4377,///,R,,,,,,,,,,"Intercalated Nuclei, Right",,,
4378,LA,,,,x,,,,,,Lateral Nucleus,,,,
4379,LA,L,3,1,,,,,,,,"Lateral Nucleus, Left",,,
4380,LAdm,L,,,,,,,,,,,"Lateral Nucleus, Dorsalmedial division, Left",,
4381,LAvl,L,,,,,,,,,,,"Lateral Nucleus, Ventrolateral division, Left",,
4382,LA,R,,2,,,,,,,,"Lateral Nucleus, Right",,,
4383,LAdm,R,,,,,,,,,,,"Lateral Nucleus, Dorsalmedial division, Right",,
4384,LAvl,R,,,,,,,,,,,"Lateral Nucleus, Ventrolateral division, Right",,
4385,NLOT,,,,,,,,,,Nucleus of the Lateral Olfactory Tract,,,,
4386,NLOT,L,,,,,,,,,,"Nucleus of the Lateral Olfactory Tract, Left",,,
4387,NLOT,R,,,,,,,,,,"Nucleus of the Lateral Olfactory Tract, Right",,,
4388,PLA,+,,,,,,,,,Paralaminar Nucleus,,,,
4389,PLA,L,,,,,,,,,,"Paralmainar Nucleus, Left",,,
4390,PLA,R,,,,,,,,,,"Paralmainar Nucleus, Right",,,
4324,AO,,,,,,,,,Anterior Olfactory Nucleus,,,,,
4325,AO,L,,,,,,,,,"Anterior Olfactory Nucleus, Left",,,,
4326,AO,R,,,,,,,,,"Anterior Olfactory Nucleus, Right",,,,
4300,BF,,,,,,,,,Basal Forebrain,,,,,
13002,SptN,,,,x,,,,,,Septal nuclei,,,,
4301,SptN,L,1,3,,,,,,,,"Septal nuclei, Left",,,
4302,MS,L,,,,,,,,,,,"Medial Septal nucleus, Left",,
4303,LS,L,,,,,,,,,,,"Lateral Septal Nucleus, Left",,
4304,SptN,R,1,3,,,,,,,,"Septal nuclei, Right",,,
4305,MS,R,,,,,,,,,,,"Medial Septal nucleus, Right",,
4306,LS,R,,,,,,,,,,,"Lateral Septal Nucleus, Right",,
13003,SI,,,,x,,,,,,Substantia Innominata,,,,
4307,SI,L,3,2,,,,,,,,"Substantia Innominata, Left",,,
4308,nbM,L,,,,,,,,,,,"Basal nucleus, Left",,
4309,DB,L,,,,,,,,,,,"Diagonal Band, Left",,
4310,DBv,L,,,,,,,,,,,,"Diagonal Band, Vertical Division, Left",
4311,DBh,L,,,,,,,,,,,,"Diagonal Band, Horizontal Division, Left",
4312,Nac,L,,,,,,,,,,,"Nucleus of the Anterior commissure, Left",,
4313,BST,L,,,,,,,,,,,"Nucleus of Stria Terminalis, Left",,
10145,OlfT,L,,,,,,,,,,,"Olfactory Tubercle, Left",,
4314,SI,R,2,2,,,,,,,,"Substantia Innominata, Right",,,
4315,nbM,R,,,,,,,,,,,"Basal nucleus, Right",,
4316,DB,R,,,,,,,,,,,"Diagonal Band, Right",,
4317,DBv,R,,,,,,,,,,,,"Diagonal Band, Vertical Division, Right",
4318,DBh,*,,,,,,,,,,,,"Diagonal Band, Horizontal Division, Right",
4319,Nac,R,,,,,,,,,,,"Nucleus of the Anterior commissure, Right",,
4320,BST,R,,,,,,,,,,,"Nucleus of Stria Terminalis, Right",,
10146,OlfT,R,,,,,,,,,,,"Olfactory Tubercle, Right",,
4276,BG,,,,,,,,,Basal Ganglia,,,,,
4293,GP,,,,,,,,,,Globus Pallidus,,,,
12897,GPe,,,,x,,,,,,,"globus pallidus, external segment",,,
4295,GPe,L,3,5,,,,,,,,,"globus pallidus, external segment, Left",,
4298,GPe,R,3,5,,,,,,,,,"globus pallidus, external segment, Right",,
12898,GPi,,,,x,,,,,,,"globus pallidus, internal segment",,,
4296,GPi,L,2,2,,,,,,,,,"globus pallidus, internal segment, Left",,
4299,GPi,R,2,2,,,,,,,,,"globus pallidus, internal segment, Right",,
4277,Str,,,,,,,,,,Striatum,,,,
4278,Cd,,,,,,,,,,,Caudate Nucleus,,,
12899,BCd,,,,,,,,,,,,Body of the Caudate Nucleus,,
4282,BCd,L,,5,,,,,,,,,,"Body of Caudate Nucleus, Left",
4286,BCd,R,,7,,,,,,,,,,"Body of Caudate Nucleus, Right",
12900,HCd,,,,x,,,,,,,,Head of the Caudate Nucleus,,
4280,HCd,L,9,4,,,,,,,,,,"Head of Caudate Nucleus, Left",
4284,HCd,R,11,2,,,,,,,,,,"Head of Caudate Nucleus, Right",
12901,TCd,,,,x,,,,,,,,Tail of the Caudate Nucleus,,
4281,TCd,L,2,2,,,,,,,,,,"Tail of Caudate Nucleus, Left",
4285,TCd,R,3,4,,,,,,,,,,"Tail of Caudate Nucleus, Right",
4290,Acb,,,,x,,,,,,,Nucleus Accumbens,,,
4291,Acb,L,1,4,,,,,,,,,"Nucleus Accumbens, Left",,
4292,Acb,R,1,3,,,,,,,,,"Nucleus Accumbens, Right",,
4287,Pu,,,,x,,,,,,,Putamen,,,
4288,Pu,L,10,8,,,,,,,,,"Putamen, Left",,
4289,Pu,R,8,6,,,,,,,,,"Putamen, Right",,
4321,Cl,,,,x,,,,,Claustrum,,,,,
4322,Cl,L,8,6,,,,,,,"Claustrum, Left",,,,
4323,Cl,R,9,5,,,,,,,"Claustrum, Right",,,,
4391,DiE,,,,,,,Diencephalon,,,,,,,
4520,ET,,,,,,,,Epithalamus,,,,,,
4521,Hb,,,,,,,,,Habenular Nuclei,,,,,
4522,Hb,L,,,,,,,,,"Habenular Nuclei, Left",,,,
4524,Hl,L,,,,,,,,,,"Lateral Habenular Nucleus, Left",,,
4525,Hlm,L,,,,,,,,,,,"Lateral Habenular Nucleus, Left, magnocellular division",,
4526,Hlp,L,,,,,,,,,,,"Lateral Habenular Nucleus, Left, parvocellular division",,
4523,Hm,L,,,,,,,,,,"Medial Habenular Nucleus, Left",,,
4527,Hb,R,,,,,,,,,"Habenular Nuclei, Right",,,,
4529,Hl,R,1,,,,,,,,,"Lateral Habenular Nucleus, Right",,,
4530,Hlm,R,,,,,,,,,,,"Lateral Habenular Nucleus, Right, magnocellular division",,
4531,Hlp,R,,,,,,,,,,,"Lateral Habenular Nucleus, Right, parvocellular division",,
4528,Hm,R,1,,,,,,,,,"Medial Habenular Nucleus, Right",,,
4533,Pa,,,,,,,,,Paraventricular Nuclei of Thalamus,,,,,
4534,Pa,L,2,1,x,,,,,,"Paraventricular Nuclei, Left of Thalamus, Left",,,,
4535,PARA,L,,,,,,,,,,"Anterior Paraventricular Nucleus of Thalamus, Left",,,
4536,PARP,L,,,,,,,,,,"Posterior Paraventricular Nucleus of Thalamus, Left",,,
4537,Pa,R,3,1,,,,,,,"Paraventricular Nuclei, Right of Thalamus, Right",,,,
4538,PARA,R,,,,,,,,,,"Anterior Paraventricular Nucleus of Thalamus, Right",,,
4539,PARP,R,,,,,,,,,,"Posterior Paraventricular Nucleus of Thalamus, Right",,,
4532,PIN,,,,,,,,,pineal,,,,,
4540,Hy,,,,,,,,Hypothalamus,,,,,,
4570,AHR,,,,,,,,,Anterior Hypothalamic Region,,,,,
12902,AHA,,,,,,,,,,Anterior Hypothalamic Area,,,,
4598,AHA,L,,1,,,,,,,,"Anterior Hypothalamic Area, Left",,,
4599,AHAA,L,,,,,,,,,,,"Anterior Hypothalamic Area, Left, anterior part",,
4600,AHC,L,,,,,,,,,,,"Anterior Hypothalamic Area, Left, central part",,
4629,AHA,R,,1,,,,,,,,"Anterior Hypothalamic Area, Right",,,
4630,AHAA,R,,,,,,,,,,,"Anterior Hypothalamic Area, Right, anterior part",,
4631,AHC,R,,,,,,,,,,,"Anterior Hypothalamic Area, Right, central part",,
12903,AHN,,,,,,,,,,Anterior Hypothalamic Nucleus,,,,
4601,AHN,L,,,,,,,,,,"Anterior Hypothalamic Nucleus, Left",,,
4632,AHN,R,,,,,,,,,,"Anterior Hypothalamic Nucleus, Right",,,
12904,LHA,,,,x,,,,,,Lateral hypothalamic Area,,,,
4596,LHA,L,1,2,,,,,,,,"Lateral hypothalamic area, Left",,,
4597,PalHy,L,,,,,,,,,,,"Pallidohypothalamic Nucleus, Left",,
4627,LHA,R,1,2,,,,,,,,"Lateral hypothalamic area, Right",,,
4628,PalHy,R,,,,,,,,,,,"Pallidohypothalamic Nucleus, Right",,
12905,PVH,,,,,,,,,,Paraventricular Nucleus of the Hypothalamus,,,,
4573,PVH,L,,2,,,,,,,,"Paraventricular Nucleus of the Hypothalamus, Left",,,
4574,SPZ,L,,,,,,,,,,,"Subparaventricular Zone, Left",,
4575,PVHd,L,,,,,,,,,,,"Paraventricular Nucleus of the hypothalamus, Left, descending division",,
4577,PVHdp,L,,,,,,,,,,,,"Paraventricular Nucleus of the Hypothalamus, Left, descending division, dorsal parvicellular part",
4579,PVHf,L,,,,,,,,,,,,"Paraventricular Nucleus of the Hypothalamus, Left, descending division, forniceal part",
4578,PVHlp,L,,,,,,,,,,,,"Paraventricular Nucleus of the Hypothalamus, Left, descending division, lateral parvicellular part",
4576,PVHmpv,L,,,,,,,,,,,,"Paraventricular Nucleus of the Hypothalamus, Left, descending division, medial parvicellular part, ventral zone",
4580,PVHm,L,,,,,,,,,,,"Paraventricular Nucleus of the Hypothalamus, Left, magnocellular division",,
4581,PVHam,L,,,,,,,,,,,,"Paraventricular Nucleus of the Hypothalamus, Left, magnocellular division, anterior magnocellular part",
4582,PVHmm,L,,,,,,,,,,,,"Paraventricular Nucleus of the Hypothalamus, Left, magnocellular division, medial magnocellular part",
4583,PVHpm,L,,,,,,,,,,,,"Paraventricular Nucleus of the Hypothalamus, Left, magnocellular division, posterior magnocellular part",
4585,PVHpml,L,,,,,,,,,,,,,"Paraventricular Nucleus of the Hypothalamus, Left, magnocellular division, posterior magnocellular part, lateral zone"
4584,PVHpmm,L,,,,,,,,,,,,,"Paraventricular Nucleus of the Hypothalamus, Left, magnocellular division, posterior magnocellular part, medial zone"
4586,PVHp,L,,,,,,,,,,,"Paraventricular Nucleus of the Hypothalamus, Left, parvicellular division",,
4587,PVHap,L,,,,,,,,,,,,"Paraventricular Nucleus of the Hypothalamus, Left, parvicellular division, anterior parvicellular part",
4588,PVHmpd,L,,,,,,,,,,,,"Paraventricular Nucleus of the Hypothalamus, Left, parvicellular division, medial parvicellular part, dorsal zone",
4589,PVHpv,L,,,,,,,,,,,,"Paraventricular Nucleus of the Hypothalamus, Left, parvicellular division, periventricular part",
4604,PVH,R,,2,,,,,,,,"Paraventricular Nucleus of the Hypothalamus, Right",,,
4605,SPZ,R,,,,,,,,,,,"Subparaventricular Zone, Right",,
4606,PVHd,R,,,,,,,,,,,"Paraventricular Nucleus of the hypothalamus, Right, descending division",,
4608,PVHdp,R,,,,,,,,,,,,"Paraventricular Nucleus of the Hypothalamus, Right, descending division, dorsal parvicellular part",
4610,PVHf,R,,,,,,,,,,,,"Paraventricular Nucleus of the Hypothalamus, Right, descending division, forniceal part",
4609,PVHlp,R,,,,,,,,,,,,"Paraventricular Nucleus of the Hypothalamus, Right, descending division, lateral parvicellular part",
4607,PVHmpv,R,,,,,,,,,,,,"Paraventricular Nucleus of the Hypothalamus, Right, descending division, medial parvicellular part, ventral zone",
4611,PVHm,R,,,,,,,,,,,"Paraventricular Nucleus of the Hypothalamus, Right, magnocellular division",,
4612,PVHam,R,,,,,,,,,,,,"Paraventricular Nucleus of the Hypothalamus, Right, magnocellular division, anterior magnocellular part",
4613,PVHmm,R,,,,,,,,,,,,"Paraventricular Nucleus of the Hypothalamus, Right, magnocellular division, medial magnocellular part",
4614,PVHpm,R,,,,,,,,,,,,"Paraventricular Nucleus of the Hypothalamus, Right, magnocellular division, posterior magnocellular part",
4616,PVHpml,R,,,,,,,,,,,,,"Paraventricular Nucleus of the Hypothalamus, Right, magnocellular division, posterior magnocellular part, lateral zone"
4615,PVHpmm,R,,,,,,,,,,,,,"Paraventricular Nucleus of the Hypothalamus, Right, magnocellular division, posterior magnocellular part, medial zone"
4617,PVHp,R,,,,,,,,,,,"Paraventricular Nucleus of the Hypothalamus, Right, parvicellular division",,
4618,PVHap,R,,,,,,,,,,,,"Paraventricular Nucleus of the Hypothalamus, Right, parvicellular division, anterior parvicellular part",
4619,PVHmpd,R,,,,,,,,,,,,"Paraventricular Nucleus of the Hypothalamus, Right, parvicellular division, medial parvicellular part, dorsal zone",
4620,PVHpv,R,,,,,,,,,,,,"Paraventricular Nucleus of the Hypothalamus, Right, parvicellular division, periventricular part",
12906,PVa,,,,,,,,,,"Periventricular Nucleus of the Hypothalamus, anterior part",,,,
4572,PVa,L,,,,,,,,,,"Periventricular Nucleus of the Hypohalamus, anterior part, Left",,,
4603,PVa,R,,,,,,,,,,"Periventricular Nucleus of the Hypohalamus, anterior part, Right",,,
12907,SO,,,,x,,,,,,Supraoptic Nucleus,,,,
4593,SO,L,1,1,,,,,,,,"Supraoptic Nucleus, Left",,,
4594,SODL,L,,,,,,,,,,,"Supraoptic Nucleus, Left, dorsolateral part",,
4595,SOVM,L,,,,,,,,,,,"Supraoptic Nucleus, Left, ventromedial part",,
4624,SO,R,1,1,,,,,,,,"Supraoptic Nucleus, Right",,,
4625,SODL,R,,,,,,,,,,,"Supraoptic Nucleus, Right, dorsolateral part",,
4626,SOVM,R,,,,,,,,,,,"Supraoptic Nucleus, Right, ventromedial part",,
12908,SCH,,,,,,,,,,SupraChiasmatic Nucleus,,,,
4590,SCH,L,,,,,,,,,,"Suprachiasmatic Nucleus, Left",,,
4591,SCHd,L,,,,,,,,,,,"Suprachiasmatic Nucleus, Left, dorsomedial part",,
4592,SCHv,L,,,,,,,,,,,"Suprachiasmatic Nucleus, Left, ventrolateral part",,
4621,SCH,R,,,,,,,,,,"Suprachiasmatic Nucleus, Right",,,
4622,SCHd,R,,,,,,,,,,,"Suprachiasmatic Nucleus, Right, dorsomedial part",,
4623,SCHv,R,,,,,,,,,,,"Suprachiasmatic Nucleus, Right, ventrolateral part",,
4665,MamR,,,,,,,,,Mammillary Region,,,,,
13004,LHM,,,,,,,,,,"Lateral Hypothalamic Area, Mammillary Region",,,,
13005,LHM,L,,,,,,,,,,"Lateral Hypothalamic Area, Mammillary Region, Left",,,
13006,LHM,R,,,,,,,,,,"Lateral Hypothalamic Area, Mammillary Region, Right",,,
12909,MB,,,,,,,,,,Mammillary Body,,,,
4671,MB,L,,1,,,,,,,,"Mammillary Body, Left",,,
4675,LM,L,,,,,,,,,,,"Lateral Mammillary Nucleus, Left",,
4672,MM,L,,,,,,,,,,,"Medial mammillary Nucleus, Left",,
4673,MMl,L,,,,,,,,,,,,"Medial Mammillary Nucleus, Left, lateral part",
4674,MMm,L,,,,,,,,,,,,"Medial Mammillary Nucleus, Left, medial part",
4676,PMm,L,,,,,,,,,,,"Premammillary Nucleus, Left",,
4677,PMD,L,,,,,,,,,,,,"Premammillary Nucleus, Left, dorsal part",
4678,PMV,L,,,,,,,,,,,,"Premammillary Nucleus, Left, ventral part",
4685,MB,R,,1,,,,,,,,"Mammillary Body, Right",,,
4689,LM,R,,,,,,,,,,,"Lateral Mammillary Nucleus, Right",,
4686,MM,R,,,,,,,,,,,"Medial mammillary Nucleus, Right",,
4687,MMl,R,,,,,,,,,,,,"Medial Mammillary Nucleus, Right, lateral part",
4688,MMm,R,,,,,,,,,,,,"Medial Mammillary Nucleus, Right, medial part",
4690,PMm,R,,,,,,,,,,,"Premammillary Nucleus, Right",,
4691,PMD,R,,,,,,,,,,,,"Premammillary Nucleus, Right, dorsal part",
4692,PMV,R,,,,,,,,,,,,"Premammillary Nucleus, Right, ventral part",
12910,PHA,,,,x,,,,,,Posterior Hypothalamic Area,,,,
4679,PHA,L,2,1,,,,,,,,"Posterior Hypothalamic Area, Left",,,
4693,PHA,R,1,1,,,,,,,,"Posterior Hypothalamic Area, Right",,,
12911,SuM,,,,,,,,,,Supramammillary Nucleus,,,,
4669,SuM,L,,,,,,,,,,"Supramammillary Nucleus, Left",,,
4670,SuMM,L,,,,,,,,,,,"Supramammillary Nucleus, Left, medial part",,
4683,SuM,R,,,,,,,,,,"Supramammillary Nucleus, Right",,,
4684,SuMM,R,,,,,,,,,,,"Supramammillary Nucleus, Right, medial part",,
12912,TM,,,,,,,,,,Tuberomammillary Nucleus,,,,
4667,TM,L,,,,,,,,,,"Tuberomammillary Nucleus, Left",,,
4668,TMp,L,,,,,,,,,,,"Tuberomammillary Nucleus, Left, principle part",,
4681,TM,R,,,,,,,,,,"Tuberomammillary Nucleus, Right",,,
4682,TMp,R,,,,,,,,,,,"Tuberomammillary Nucleus, Right, principle part",,
4541,PrOR,,,,x,,,,,Preoptic Region,,,,,
4542,PrOR,L,1,1,,,,,,,"Preoptic Region, Left",,,,
4553,IMH,L,,,,,,,,,,"intermediate hypothalamic nuclei, Left",,,
4554,IN,L,,,,,,,,,,,"Intermediate nucleus, Left",,
4555,UN,L,,,,,,,,,,,"Uncinate Nucleus, Left",,
4552,LPO,L,,,,,,,,,,"Lateral Preoptic Area, Left",,,
4543,MPA,L,,,,,,,,,,"Medial Preoptic Area, Left",,,
4544,MPO,L,,,,,,,,,,,"Medial Preoptic Nucleus, Left",,
4547,MPOC,L,,,,,,,,,,,,"Medial Preoptic Nucleus, Left, central part",
4545,MPOL,L,,,,,,,,,,,,"Medial Preoptic Nucleus, Left, lateral part",
4546,MPOM,L,,,,,,,,,,,,"Medial Preoptic Nucleus, Left, medial part",
4548,MnPO,L,,,,,,,,,,,"Median Preoptic Nucleus, Left",,
4549,PVpo,L,,,,,,,,,,"Periventricular Nucleus of the Hypothalamus, preoptic part, Left",,,
4550,AVPV,L,,,,,,,,,,,"Anteroventral Periventricular Nucleus, Left",,
4551,DPV,L,,,,,,,,,,,"Dorsal Periventricular Nucleus, Left",,
4556,PrOR,R,1,1,,,,,,,"Preoptic Region, Right",,,,
4567,IMH,R,,,,,,,,,,"intermediate hypothalamic nuclei, Right",,,
4568,IN,R,,,,,,,,,,,"Intermediate nucleus, Right",,
4569,UN,R,,,,,,,,,,,"Uncinate Nucleus, Right",,
4566,LPO,R,,,,,,,,,,"Lateral Preoptic Area, Right",,,
4557,MPA,R,,,,,,,,,,"Medial Preoptic Area, Right",,,
4558,MPO,R,,,,,,,,,,,"Medial Preoptic Nucleus, Right",,
4561,MPOC,R,,,,,,,,,,,,"Medial Preoptic Nucleus, Right, central part",
4559,MPOL,R,,,,,,,,,,,,"Medial Preoptic Nucleus, Right, lateral part",
4560,MPOM,R,,,,,,,,,,,,"Medial Preoptic Nucleus, Right, medial part",
4562,MnPO,R,,,,,,,,,,,"Median Preoptic Nucleus, Right",,
4563,PVpo,R,,,,,,,,,,"Periventricular Nucleus of the Hypothalamus, preoptic part, Right",,,
4564,AVPV,R,,,,,,,,,,,"Anteroventral Periventricular Nucleus, Right",,
4565,DPV,R,,,,,,,,,,,"Dorsal Periventricular Nucleus, Right",,
4633,TubR,,,,,,,,,Tuberal Region,,,,,
4634,Pit,,,,,,,,,,Pituitary Gland,,,,
12913,ARH,,,,,,,,,,Arcuate Nucleus of the Hypothalamus,,,,
4644,ARH,L,,1,,,,,,,,"Arcuate Nucleus of the Hypothalamus, Left",,,
4645,ArcD,L,,,,,,,,,,,"Arcuate Nucleus, Left, dorsal part",,
4646,ArcL,L,,,,,,,,,,,"Arcuate Nucleus, Left, lateral paert",,
4647,ArcM,L,,,,,,,,,,,"Arcuate Nucleus, Left, medial part",,
4659,ARH,R,,1,,,,,,,,"Arcuate Nucleus of the Hypothalamus, Right",,,
4660,ArcD,R,,,,,,,,,,,"Arcuate Nucleus, Right, dorsal part",,
4661,ArcL,R,,,,,,,,,,,"Arcuate Nucleus, Right, lateral paert",,
4662,ArcM,R,,,,,,,,,,,"Arcuate Nucleus, Right, medial part",,
12914,DMH,,,,,,,,,,Dorsomedial Hypothalamic Nucleus,,,,
4641,DMH,L,,,,,,,,,,"Dorsomedial hypothalamic Nucleus, Left",,,
4642,DMC,L,,,,,,,,,,,"Dorsomedial hypothalamic Nucleus, Left, compact part",,
4643,DMD,L,,,,,,,,,,,"Dorsomedial hypothalamic Nucleus, Left, diffuse part",,
4656,DMH,R,,,,,,,,,,"Dorsomedial hypothalamic Nucleus, Right",,,
4657,DMC,R,,,,,,,,,,,"Dorsomedial hypothalamic Nucleus, Right, compact part",,
4658,DMD,R,,,,,,,,,,,"Dorsomedial hypothalamic Nucleus, Right, diffuse part",,
13007,LHT,,,,,,,,,,"Lateral Hypothalamic Area, Tuberal Region",,,,
13008,LHT,L,,,,,,,,,,"Lateral Hypothalamic Area, Tuberal Region, Left",,,
13009,LHT,R,,,,,,,,,,"Lateral Hypothalamic Area, Tuberal Region, Right",,,
12915,LTu,,,,,,,,,,Lateral Tuberal Nucleus,,,,
10151,LTu,L,,,,,,,,,,"Lateral Tuberal Nucleus, Left",,,
10152,LTu,R,,,,,,,,,,"Lateral Tuberal Nucleus, Right",,,
12916,ME,,,,,,,,,,Median Eminence,,,,
4649,ME,L,,,,,,,,,,"Median Eminence, Left",,,
4664,ME,R,,,,,,,,,,"Median Eminence, Right",,,
12917,PeF,,,,,,,,,,Perifornical Nucleus,,,,
4648,PeF,L,,,,,,,,,,"Perifornical Nucleus, Left",,,
4663,PeF,R,,,,,,,,,,"Perifornical Nucleus, Right",,,
12918,PVt,,,,,,,,,,"Periventricular Nucleus of the Hypothalamus, tuberal part",,,,
4636,PVt,L,,,,,,,,,,"Periventricular Nucleus of the Hypothalamus, tuberal part, Left",,,
4651,PVt,R,,,,,,,,,,"Periventricular Nucleus of the Hypothalamus, tuberal part, Right",,,
12919,VMH,,,,,,,,,,Ventromedial Hypothalamic Nucleus,,,,
4637,VMH,L,,1,,,,,,,,"Ventromedial Hypothalamic Nucleus, Left",,,
4639,VMD,L,,,,,,,,,,,"Ventromedial Hypothalamic Nucleus, Left, dorsal part",,
4640,VMS,L,,,,,,,,,,,"Ventromedial Hypothalamic Nucleus, Left, shell",,
4638,VMV,L,,,,,,,,,,,"Ventromedial Hypothalamic Nucleus, Left, ventral part",,
4652,VMH,R,,1,,,,,,,,"Ventromedial Hypothalamic Nucleus, Right",,,
4654,VMD,R,,,,,,,,,,,"Ventromedial Hypothalamic Nucleus, Right, dorsal part",,
4655,VMS,R,,,,,,,,,,,"Ventromedial Hypothalamic Nucleus, Right, shell",,
4653,VMV,R,,,,,,,,,,,"Ventromedial Hypothalamic Nucleus, Right, ventral part",,
4517,SbT,,,,,,,,Subthalamus,,,,,,
4518,Sb,L,1,2,x,,,,,"Subthalamic Nucleus, Left",,,,,
4519,Sb,R,2,1,,,,,,"Subthalamic Nucleus, Right",,,,,
4392,TH,,,,,,,,Thalamus,,,,,,
4393,DT,,,,,,,,,Dorsal Thalamus,,,,,
12920,DTA,,,,x,,,,,,Anterior Group of Nuclei,,,,
4395,DTA,L,4,4,,,,,,,,"Anterior Group of Nuclei, Left",,,
4398,AD,L,,,,,,,,,,,"Anterodorsal Nucleus of Thalamus, Left",,
4396,AM,L,,,,,,,,,,,"Anteromedial Nucleus of Thalamus, Left",,
4397,AV,L,,,,,,,,,,,"Anteroventral Nucleus of Thalamus, Left",,
4399,LD,L,,,,,,,,,,,"Lateral dorsal Nucleus of Thalamus, Left",,
4450,DTA,R,4,5,,,,,,,,"Anterior Group of Nuclei, Right",,,
4453,AD,R,,,,,,,,,,,"Anterodorsal Nucleus of Thalamus, Right",,
4451,AM,R,,,,,,,,,,,"Anteromedial Nucleus of Thalamus, Right",,
4452,AV,R,,,,,,,,,,,"Anteroventral Nucleus of Thalamus, Right",,
4454,LD,R,,,,,,,,,,,"Lateral dorsal Nucleus of Thalamus, Right",,
12921,ILc,,,,x,,,,,,Caudal Group of intralaminar Nuclei,,,,
4437,ILc,L,1,1,,,,,,,,"Caudal Group of Intralaminar Nuclei, Left",,,
4438,CM,L,,,,,,,,,,,"Centre m̩dian nucleus of Thalamus, Left",,
4439,pf,L,,,,,,,,,,,"Parafascicular Nucleus of Thalamus, Left",,
4492,ILc,R,2,2,,,,,,,,"Caudal Group of Intralaminar Nuclei, Right",,,
4493,CM,R,,,,,,,,,,,"Centre m̩dian nucleus of Thalamus, Right",,
4494,pf,R,,,,,,,,,,,"Parafascicular Nucleus of Thalamus, Right",,
12922,LGd,,,,x,,,,,,Dorsal Lateral Geneiculate Nucleus,,,,
4440,LGd,L,2,1,,,,,,,,"Dorsal Lateral Geniculate Nucleus, Left",,,
4441,LGdm,L,,,,,,,,,,,"Dorsal Lateral Geniculate Nucleus, Left, magnocellular layers",,
4442,LGdp,L,,,,,,,,,,,"Dorsal Lateral Geniculate Nucleus, Left, parvocellular layers",,
4443,LGds,L,,,,,,,,,,,"Dorsal Lateral Geniculate Nucleus, Left, S and intercalated layers",,
4495,LGd,R,1,3,,,,,,,,"Dorsal Lateral Geniculate Nucleus, Right",,,
4496,LGdm,R,,,,,,,,,,,"Dorsal Lateral Geniculate Nucleus, Right, magnocellular layers",,
4497,LGdp,R,,,,,,,,,,,"Dorsal Lateral Geniculate Nucleus, Right, parvocellular layers",,
4498,LGds,R,,,,,,,,,,,"Dorsal Lateral Geniculate Nucleus, Right, S and intercalated layers",,
12923,DTL,,,,,,,,,,Lateral Group of Nuclei,,,,
12924,DTLd,,,,x,,,,,,,"Lateral Group of Nuclei, Dorsal Division",,,
4409,DTLd,L,1,1,,,,,,,,,"Lateral group of Nuclei, Left, Dorsal Division",,
4410,LP,L,,,,,,,,,,,,"lateral posterior nucleus of Thalamus, Left",
4411,Pla,L,,,,,,,,,,,,"anterior nucleus of pulvinar, Left",
4414,Pli,L,,,,,,,,,,,,"inferior nucleus of pulvinar, Left",
4415,Plil,L,,,,,,,,,,,,,"Inferior Nucleus of Pulvinar, Left, lateral division"
4416,Plim,L,,,,,,,,,,,,,"Inferior Nucleus of Pulvinar, Left, medial division"
4413,Pll,L,,,,,,,,,,,,"lateral nucleus of pulvinar, Left",
4412,Plm,L,,,,,,,,,,,,"medial nucleus of pulvinar, Left",
4464,DTLd,R,2,2,,,,,,,,,"Lateral group of Nuclei, Right, Dorsal Division",,
4465,LP,R,,,,,,,,,,,,"lateral posterior nucleus of Thalamus, Right",
4466,Pla,R,,,,,,,,,,,,"anterior nucleus of pulvinar, Right",
4469,Pli,R,,,,,,,,,,,,"inferior nucleus of pulvinar, Right",
4470,Plil,R,,,,,,,,,,,,,"Inferior Nucleus of Pulvinar, Right, lateral division"
4471,Plim,R,,,,,,,,,,,,,"Inferior Nucleus of Pulvinar, Right, medial division"
4468,Pll,R,,,,,,,,,,,,"lateral nucleus of pulvinar, Right",
4467,Plm,R,,,,,,,,,,,,"medial nucleus of pulvinar, Right",
12925,DTLv,,,,x,,,,,,,"Lateral Group of Nuclei, Ventral Division",,,
4417,DTLv,L,5,4,,,,,,,,,"Lateral group of Nuclei, Left, Ventral division",,
4427,VMb,L,,,,,,,,,,,,"Basal ventral medial nucleus of Thalamus, Left",
4418,VA,L,,,,,,,,,,,,"Ventral Anterior Nucleus of Thalamus, Left",
4420,VAmc,L,,,,,,,,,,,,,"Ventral Anterior Nucleus of Thalamus, Left, magnocellular division"
4419,VMp,L,,,,,,,,,,,,,"Ventral Anterior Nucleus of Thalamus, Left, principle division"
4422,VLa,L,,,,,,,,,,,,"Ventral lateral anterior nucleus of Thalamus, Left",
4423,VLp,L,,,,,,,,,,,,"Ventral lateral posterior nucleus of Thalamus, Left",
4421,VM,L,,,,,,,,,,,,"Ventral Medial Nucleus of Thalamus, Left",
4426,VPI,L,,,,,,,,,,,,"Ventral posterior inferior nucleus of Thalamus, Left",
