ID,Acronym,Hemisphere,"Sample Number
Brain 1","Sample Number
Brain 2",Structures represented with at least n=2 samples in both brains,Structures,,,,,,,,,
4064,SCG,R,1,1,,,,,,,,"subcollosal gyrus, Right",,,
4021,SFG,,,,,,,,,,superior frontal gyrus,,,,
4022,SFG,L,,,,,,,,,,"superior frontal gyrus, Left",,,
4023,SFG-m,L,10,6,x,,,,,,,,"superior frontal gyrus, Left, medial bank of gyrus",,
4024,SFG-l,L,8,7,x,,,,,,,,"superior frontal gyrus, Left, lateral bank of gyrus",,
4025,SFG,R,,,,,,,,,,"superior frontal gyrus, Right",,,
4026,SFG-m,R,9,6,,,,,,,,,"superior frontal gyrus, Right, medial bank of gyrus",,
4027,SFG-l,R,7,7,,,,,,,,,"superior frontal gyrus, Right, lateral bank of gyrus",,
4897,SRoG,,,,at least n=1 per structure both brains,,,,,,superior rostral gyrus,,,,
4898,SRoG,L,,2,,,,,,,,"superior rostral gyrus, Left",,,
4899,SRoG,R,1,1,,,,,,,,"superior rostral gyrus, Right",,,
4268,Ins,,,,,,,,,Insula,,,,,
4269,LIG,,,,x,,,,,,Long Insular Gyri,,,,
4270,LIG,L,2,2,,,,,,,,"Long Insular Gyri, Left",,,
4271,LIG,R,3,2,,,,,,,,"Long Insular Gyri, Right",,,
4272,SIG,,,,x,,,,,,Short Insular Gyri,,,,
4273,SIG,L,2,1,,,,,,,,"Short Insular Gyri, Left",,,
4274,SIG,R,4,2,,,,,,,,"Short Insular Gyri, Right",,,
4219,LL,,,,,,,,,Limbic Lobe,,,,,
4220,CgG,,,,,,,,,,Cingulate gyrus,,,,
4221,CgGf,,,,,,,,,,,"Cingulate gyrus, frontal part",,,
4222,CgGf,L,,,,,,,,,,,"Cingulate gyrus, frontal part, Left",,
4223,CgGf-s,L,2,5,x,,,,,,,,,"Cingulate gyrus, frontal part, Left, superior bank of gyrus",
4224,CgGf-i,L,3,3,x,,,,,,,,,"Cingulate gyrus, frontal part, Left, inferior bank of gyrus",
4225,CgGf,R,,,,,,,,,,,"Cingulate gyrus, frontal part, Right",,
4226,CgGf-s,R,4,6,,,,,,,,,,"Cingulate gyrus, frontal part, Right, superior bank of gyrus",
4227,CgGf-i,R,2,4,,,,,,,,,,"Cingulate gyrus, frontal part, Right, inferior bank of gyrus",
4228,CgGp,,,,,,,,,,,"Cingulate gyrus, parietal part",,,
4229,CgGp,L,,,,,,,,,,,"Cingulate gyrus, parietal part, Left",,
4230,CgGp-s,L,2,1,x,,,,,,,,,"Cingulate gyrus, parietal part, Left, superior bank of gyrus",
4231,CgGp-i,L,2,,at least n=1 per structure both brains,,,,,,,,,"Cingulate gyrus, parietal part, Left, inferior bank of gyrus",
4232,CgGp,R,,,,,,,,,,,"Cingulate gyrus, parietal part, Right",,
4233,CgGp-s,R,2,1,,,,,,,,,,"Cingulate gyrus, parietal part, Right, superior bank of gyrus",
4234,CgGp-i,R,2,1,,,,,,,,,,"Cingulate gyrus, parietal part, Right, inferior bank of gyrus",
4235,CgGr,,,,,,,,,,,"Cingulate gyrus, retrosplenial part",,,
4236,CgGr,L,,,,,,,,,,,"Cingulate gyrus, retrosplenial part, Left",,
4237,CgGr-s,L,,,,,,,,,,,,"Cingulate gyrus, retrosplenial part, Left, superior bank of gyrus",
4238,CgGr-i,L,,2,,,,,,,,,,"Cingulate gyrus, retrosplenial part, Left, inferior bank of gyrus",
4239,CgGr,R,,,,,,,,,,,"Cingulate gyrus, retrosplenial part, Right",,
4240,CgGr-s,R,,1,,,,,,,,,,"Cingulate gyrus, retrosplenial part, Right, superior bank of gyrus",
4241,CgGr-i,R,,3,,,,,,,,,,"Cingulate gyrus, retrosplenial part, Right, inferior bank of gyrus",
4249,HiF,,,,,,,,,,hippocampal formation,,,,
12891,DG,,,,x,,,,,,,Dentate Gyrus,,,
4258,DG,L,5,4,,,,,,,,,"Dentate gyrus, Left",,
4267,DG,R,6,4,,,,,,,,,"Dentate gyrus, Right",,
12892,CA1,,,,x,,,,,,,CA1 field,,,
4254,CA1,L,5,5,,,,,,,,,"CA1 field, Left",,
4263,CA1,R,8,6,,,,,,,,,"CA1 field, Right",,
12893,CA2,,,,x,,,,,,,CA2 field,,,
4255,CA2,L,5,3,,,,,,,,,"CA2 field, Left",,
4264,CA2,R,5,5,,,,,,,,,"CA2 field, Right",,
12894,CA3,,,,x,,,,,,,CA3 field,,,
4256,CA3,L,4,4,,,,,,,,,"CA3 field, Left",,
4265,CA3,R,6,4,,,,,,,,,"CA3 field, Right",,
12895,CA4,,,,x,,,,,,,CA4 field,,,
4257,CA4,L,4,4,,,,,,,,,"CA4 field, Left",,
4266,CA4,R,6,5,,,,,,,,,"CA4 field, Right",,
